"산업중분류별(1)",산업중분류별(2),2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021
"산업중분류별(1)",산업중분류별(2),요양재해자,사망자,6개월 이상,91~180일,29~90일,15~28일,8~14일,4~7일,요양재해자,사망자,6개월 이상,91~180일,29~90일,15~28일,8~14일,4~7일,요양재해자,사망자,6개월 이상,91~180일,29~90일,15~28일,8~14일,4~7일,요양재해자,사망자,6개월 이상,91~180일,29~90일,15~28일,8~14일,4~7일,요양재해자,사망자,6개월 이상,91~180일,29~90일,15~28일,8~14일,4~7일
"제조업",도자기 및 기타요업제품 제조업,390,19,103,148,89,15,3,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"제조업",도자기·기타요업제품·시멘트제조업,-,-,-,-,-,-,-,-,476,23,125,165,141,9,2,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"제조업",시멘트제조업,49,1,12,16,11,1,0,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"제조업",비금속광물제품 및 금속제품제조업 또는 금속가공업,5079,95,1207,2078,1292,141,27,230,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"제조업",기계기구·비금속광물제품·금속제품제조업 또는 금속가공업,-,-,-,-,-,-,-,-,9485,159,2410,3771,2358,341,89,343,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"제조업",기계기구 비금속광물 및 금속제품제조업,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13764,246,3603,5175,3625,542,141,407,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"제조업",기계기구·금속·비금속광물제품제조업,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14121,256,4000,5075,3561,605,126,478,14891,272,4165,5227,3755,622,164,667
"제조업",금속제련업,83,9,24,26,20,3,0,1,121,8,39,40,24,5,1,3,152,2,40,59,34,8,3,6,167,11,57,47,33,5,1,13,275,16,63,71,82,19,4,20
"제조업",도금업,428,11,129,159,104,20,1,4,491,10,136,197,127,11,3,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"제조업",기계기구제조업,3873,57,900,1594,1089,149,31,46,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"제조업",전기기계기구제조업,654,8,144,257,196,35,10,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"제조업",전기기계기구·전자제품·계량기·광학기계·기타정밀기구 제조업,-,-,-,-,-,-,-,-,1512,34,362,553,467,65,18,9,1701,39,368,628,558,70,25,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"제조업",전기기계기구·정밀기구·전자제품제조업,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1725,25,366,650,550,101,21,10,1914,31,435,744,520,131,36,16
"제조업",전자제품제조업,463,19,92,182,140,23,5,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"제조업",선박건조 및 수리업,1953,29,700,444,266,58,10,444,1848,26,806,417,222,39,7,329,2306,29,1096,532,273,35,4,332,2492,28,1206,534,389,68,20,245,3125,40,1465,657,483,80,32,364
"제조업",수송용기계기구 제조업,2199,29,625,875,560,61,19,23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"제조업",수송용기계기구 제조업·자동차 및 모터사이클 수리업,-,-,-,-,-,-,-,-,3033,44,923,1077,783,125,40,39,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"제조업",계량기·광학기계·기타정밀기구 제조업,275,4,48,114,94,11,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"제조업",수제품제조업,148,5,22,58,41,8,6,8,153,2,34,65,32,8,5,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"제조업",수제품 및 기타제품 제조업,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1151,16,272,442,314,64,18,20,1141,28,307,424,314,41,13,9,1262,17,307,476,352,70,20,12
"제조업",섬유 또는 섬유제품 제조업(을),677,21,156,281,185,19,6,8,717,28,217,252,177,29,6,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"제조업",자동차 및 모터사이클 수리업,504,2,132,180,142,31,14,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
