"산업중분류별(1)",산업중분류별(2),2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021
"산업중분류별(1)",산업중분류별(2),계,떨어짐,넘어짐,부딪힘,물체에 맞음,무너짐,끼임,절단·베임·찔림,감전,폭발·파열,화재,깔림·뒤집힘,이상온도 물체접촉,빠짐·익사,불균형 및 무리한 동작,화학물질 누출·접촉,산소결핍,사업장내 교통사고,사업장외 교통사고,업무상질병,체육행사등의 사고,폭력행위,동물상해,기타,분류불능,계,떨어짐,넘어짐,부딪힘,물체에 맞음,무너짐,끼임,절단·베임·찔림,감전,폭발·파열,화재,깔림·뒤집힘,이상온도 물체접촉,빠짐·익사,불균형 및 무리한 동작,화학물질 누출·접촉,산소결핍,사업장내 교통사고,사업장외 교통사고,업무상질병,체육행사등의 사고,폭력행위,동물상해,기타,분류불능,계,떨어짐,넘어짐,부딪힘,물체에 맞음,무너짐,끼임,절단·베임·찔림,감전,폭발·파열,화재,깔림·뒤집힘,이상온도 물체접촉,빠짐·익사,불균형 및 무리한 동작,화학물질 누출·접촉,산소결핍,사업장내 교통사고,사업장외 교통사고,업무상질병,체육행사등의 사고,폭력행위,동물상해,기타,분류불능,계,떨어짐,넘어짐,부딪힘,물체에 맞음,무너짐,끼임,절단·베임·찔림,감전,폭발·파열,화재,깔림·뒤집힘,이상온도 물체접촉,빠짐·익사,광산사고,불균형 및 무리한 동작,화학물질 누출·접촉,산소결핍,사업장내 교통사고,사업장외 교통사고,업무상질병,체육행사등의 사고,폭력행위,동물상해,기타,분류불능,계,떨어짐,넘어짐,부딪힘,물체에 맞음,무너짐,끼임,절단·베임·찔림,감전,폭발·파열,화재,깔림·뒤집힘,이상온도 물체접촉,빠짐·익사,불균형 및 무리한 동작,화학물질 누출·접촉,산소결핍,사업장내 교통사고,사업장외 교통사고,업무상질병,체육행사등의 사고,폭력행위,동물상해,기타,분류불능
"제조업",기계기구 비금속광물 및 금속제품제조업,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13764,1084,1041,1216,1329,58,3883,1013,37,62,44,373,293,0,437,48,0,20,194,2484,124,14,2,3,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"제조업",기계기구·금속·비금속광물제품제조업,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14121,1121,1267,1199,1344,51,3798,1035,39,70,43,389,297,2,0,438,44,0,21,141,2741,57,16,4,1,3,14891,1102,1276,1149,1410,31,3816,1063,34,69,42,399,278,0,503,47,0,26,145,3442,36,10,7,1,5
"제조업",금속제련업,83,10,5,6,3,0,17,0,0,0,1,1,7,0,4,0,0,0,0,25,4,0,0,0,0,121,8,13,6,6,0,21,0,0,3,1,0,13,0,3,1,0,1,4,33,6,1,0,0,1,152,8,15,9,8,0,17,2,0,2,4,1,13,0,1,3,0,2,5,46,15,1,0,0,0,167,7,17,15,4,0,14,3,1,2,0,1,14,0,0,5,3,0,0,1,77,2,1,0,0,0,275,10,32,19,19,0,23,4,2,5,2,2,16,0,16,4,0,1,0,119,1,0,0,0,0
"제조업",도금업,428,32,48,47,35,3,126,12,1,4,4,26,27,0,6,19,0,0,2,32,3,1,0,0,0,491,46,73,46,61,3,104,17,0,2,4,16,26,1,19,16,0,0,10,45,1,0,0,1,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"제조업",기계기구제조업,3873,358,285,351,440,8,1322,310,11,12,15,117,83,0,79,9,1,0,25,399,40,1,2,2,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"제조업",전기기계기구제조업,654,51,68,56,33,2,251,53,13,0,1,13,11,0,14,1,0,0,8,61,18,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"제조업",전기기계기구·전자제품·계량기·광학기계·기타정밀기구 제조업,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1512,101,206,93,96,2,441,116,18,1,15,30,26,0,61,12,0,0,42,195,54,2,0,0,1,1701,99,209,137,85,1,486,123,12,7,3,44,23,0,75,13,0,1,34,288,54,2,0,4,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"제조업",전기기계기구·정밀기구·전자제품제조업,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1725,96,218,125,129,0,537,137,16,2,5,41,24,0,0,74,15,0,0,30,250,22,2,1,1,0,1914,113,262,155,141,3,548,141,11,7,2,36,27,0,87,9,0,0,27,329,10,4,1,1,0
"제조업",전자제품제조업,463,23,74,20,23,0,119,34,2,3,2,6,12,0,21,8,0,0,8,77,30,1,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"제조업",선박건조 및 수리업,1953,187,180,130,112,1,125,43,5,5,3,32,24,1,44,0,2,16,5,1021,8,6,0,0,3,1848,152,105,93,81,2,130,38,4,13,6,28,28,0,39,2,1,14,17,1084,8,2,0,0,1,2306,161,171,127,103,5,129,46,8,6,4,42,33,0,60,3,0,10,17,1345,29,7,0,0,0,2492,196,230,136,139,1,156,38,8,8,5,49,35,0,0,91,2,0,20,30,1341,6,1,0,0,0,3125,168,239,139,137,0,173,57,7,6,3,46,44,0,115,2,2,16,29,1924,3,15,0,0,0
"제조업",수송용기계기구 제조업,2199,108,181,216,129,3,787,95,2,4,2,40,32,0,57,2,0,7,39,456,37,2,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"제조업",수송용기계기구 제조업·자동차 및 모터사이클 수리업,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3033,154,280,277,191,4,863,149,3,5,14,32,71,0,141,6,0,21,66,700,46,9,1,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"제조업",계량기·광학기계·기타정밀기구 제조업,275,20,34,13,25,0,100,20,1,0,2,6,6,0,4,2,0,0,5,26,11,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"제조업",수제품제조업,148,8,22,5,6,0,51,21,0,0,2,2,2,0,6,0,0,0,1,22,0,0,0,0,0,153,11,18,9,6,0,53,18,0,0,3,2,4,0,5,0,0,0,2,20,0,0,0,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"제조업",수제품 및 기타제품 제조업,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1151,176,133,85,68,6,309,153,1,1,2,34,19,0,28,1,0,0,15,115,3,0,1,0,1,1141,186,137,80,86,3,293,122,2,13,8,28,15,0,0,24,2,2,0,11,117,5,2,1,2,2,1262,177,139,87,99,4,341,147,4,7,7,26,14,0,43,8,0,0,15,139,2,0,2,0,1
"제조업",섬유 또는 섬유제품 제조업(을),677,70,83,45,26,2,264,49,1,5,4,7,25,0,15,3,0,0,3,67,4,1,2,0,1,717,78,84,42,22,1,276,39,2,1,4,6,34,0,16,4,0,0,12,92,3,0,1,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"제조업",자동차 및 모터사이클 수리업,504,54,61,73,46,0,72,25,1,7,8,4,24,0,24,0,0,0,9,88,7,1,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"제조업",코크스 연탄 및 석유정제품 제조업,48,6,1,3,2,0,7,2,0,1,1,0,1,0,0,1,2,0,1,19,1,0,0,0,0,76,6,4,7,3,0,9,4,0,0,0,0,4,0,3,1,1,1,0,31,2,0,0,0,0,64,5,4,5,0,0,6,1,1,1,0,0,1,0,3,1,0,2,2,32,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"제조업",기타제조업,1019,166,92,75,84,7,289,123,0,9,9,37,11,0,22,1,0,0,13,75,4,0,0,1,1,1006,186,101,56,69,10,281,128,3,1,3,23,15,0,29,2,0,0,9,88,2,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"전기·가스·증기 및 수도사업",소계,87,5,18,5,3,0,10,1,1,0,0,1,5,0,7,1,0,0,6,13,11,0,0,0,0,108,10,18,12,5,0,7,2,2,8,1,5,6,0,5,1,0,0,4,12,9,0,0,0,1,111,13,23,7,6,0,12,3,5,0,3,5,3,0,3,1,0,0,4,14,7,0,1,0,1,105,13,16,7,2,0,10,3,6,0,0,1,5,0,0,7,0,0,0,7,18,8,0,0,1,1,130,7,21,6,8,1,13,5,2,1,4,6,4,0,14,3,0,0,2,28,3,0,2,0,0
"전기·가스·증기 및 수도사업",전기·가스·증기 및 수도사업,87,5,18,5,3,0,10,1,1,0,0,1,5,0,7,1,0,0,6,13,11,0,0,0,0,108,10,18,12,5,0,7,2,2,8,1,5,6,0,5,1,0,0,4,12,9,0,0,0,1,111,13,23,7,6,0,12,3,5,0,3,5,3,0,3,1,0,0,4,14,7,0,1,0,1,105,13,16,7,2,0,10,3,6,0,0,1,5,0,0,7,0,0,0,7,18,8,0,0,1,1,130,7,21,6,8,1,13,5,2,1,4,6,4,0,14,3,0,0,2,28,3,0,2,0,0
"건설업",소계,25649,8608,3785,2183,3114,262,1997,2687,164,49,59,803,143,13,587,38,6,1,168,931,2,15,8,3,23,27686,9191,4083,2248,3181,313,2206,2849,176,55,107,793,172,6,751,90,5,3,206,1200,8,17,6,4,16,27211,8565,4121,2156,2959,360,2096,2856,141,55,56,716,141,5,764,73,0,0,178,1913,7,20,10,5,14,26799,8009,4239,2078,2909,350,2120,2784,138,62,88,743,151,3,0,697,63,5,1,126,2182,5,19,9,5,13,29943,8225,4685,2304,3533,323,2336,3098,134,36,67,811,178,5,890,68,3,2,129,3055,7,21,11,5,17
"건설업",건설업,25649,8608,3785,2183,3114,262,1997,2687,164,49,59,803,143,13,587,38,6,1,168,931,2,15,8,3,23,27686,9191,4083,2248,3181,313,2206,2849,176,55,107,793,172,6,751,90,5,3,206,1200,8,17,6,4,16,27211,8565,4121,2156,2959,360,2096,2856,141,55,56,716,141,5,764,73,0,0,178,1913,7,20,10,5,14,26799,8009,4239,2078,2909,350,2120,2784,138,62,88,743,151,3,0,697,63,5,1,126,2182,5,19,9,5,13,29943,8225,4685,2304,3533,323,2336,3098,134,36,67,811,178,5,890,68,3,2,129,3055,7,21,11,5,17
"운수·창고 및 통신업",소계,4237,585,685,423,227,15,403,66,4,5,8,58,23,2,212,5,0,1,1078,340,38,55,1,0,3,5291,691,760,482,254,20,470,80,14,6,3,63,29,3,251,8,0,20,1501,514,55,55,5,3,4,6173,669,893,495,281,23,401,88,9,3,0,83,42,1,354,7,2,3,1994,709,55,48,5,2,6,7251,635,1084,513,266,15,423,87,8,9,9,102,28,2,0,339,3,0,5,2873,747,22,65,11,1,4,10091,786,1661,615,306,22,511,119,7,3,2,158,26,1,501,8,2,11,4323,943,15,56,9,1,5
"운수·창고 및 통신업",철도·궤도 및 삭도운수업,114,10,19,11,6,0,11,3,0,2,2,0,2,0,5,1,0,0,10,15,12,5,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"운수·창고 및 통신업",철도·궤도·삭도·항공운수업,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,341,17,68,45,15,0,39,9,7,2,0,5,4,0,22,2,0,0,37,44,12,11,0,1,1,466,26,91,62,22,0,43,13,5,0,0,8,17,0,45,0,0,0,57,55,16,3,0,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"운수·창고 및 통신업",철도·항공·창고·운수관련서비스업,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2402,299,419,353,184,7,305,55,6,4,5,55,14,1,0,170,3,0,2,105,378,16,13,4,1,3,2854,331,569,396,197,18,323,76,5,1,1,66,12,0,216,4,2,9,103,485,12,23,3,1,1
"운수·창고 및 통신업",자동차운수업 및 택배업 퀵서비스업,2213,244,321,124,59,4,98,23,0,1,3,16,16,0,94,3,0,1,986,178,3,38,0,0,1,2679,278,331,114,61,2,102,18,1,4,2,17,15,0,82,3,0,16,1343,235,10,38,3,1,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"운수·창고 및 통신업",육상 및 수상운수업,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3528,296,421,132,75,7,107,22,0,1,0,23,17,1,138,5,1,2,1837,385,14,37,3,0,4,4607,288,615,149,78,7,115,24,0,5,4,44,13,1,0,150,0,0,3,2717,333,5,52,4,0,0,6942,400,1032,199,100,4,174,34,1,2,1,91,13,1,265,4,0,2,4178,397,2,33,6,0,3
"운수·창고 및 통신업",수상운수업 항만하역 및 화물취급사업,1206,202,208,199,126,6,219,27,1,1,2,32,2,1,64,1,0,0,26,85,1,1,0,0,2,1377,237,206,215,124,12,241,27,4,0,0,31,2,1,82,2,0,2,37,147,5,1,0,1,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"운수·창고 및 통신업",항공운수업,81,7,15,14,5,0,12,0,0,0,0,0,0,0,9,0,0,0,5,10,2,2,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"운수·창고 및 통신업",운수관련서비스업,305,41,79,38,18,1,27,7,0,1,1,5,2,1,25,0,0,0,24,19,12,3,1,0,0,430,62,94,56,29,3,44,13,0,0,1,5,5,2,34,0,0,2,33,32,12,3,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"운수·창고 및 통신업",창고 및 운수관련 서비스업,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1956,294,348,288,180,15,235,44,2,2,0,52,8,0,151,2,1,1,60,244,20,8,1,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"운수·창고 및 통신업",창고업,176,30,24,32,10,4,31,0,0,0,0,5,1,0,10,0,0,0,0,24,0,5,0,0,0,228,27,33,44,22,3,37,9,0,0,0,2,2,0,18,1,0,0,3,24,2,0,1,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"운수·창고 및 통신업",통신업,142,51,19,5,3,0,5,6,3,0,0,0,0,0,5,0,0,0,27,9,8,1,0,0,0,236,70,28,8,3,0,7,4,2,0,0,3,1,0,13,0,0,0,48,32,14,2,1,0,0,223,53,33,13,4,1,16,9,2,0,0,0,0,0,20,0,0,0,40,25,5,0,1,0,1,242,48,50,11,4,1,3,8,2,0,0,3,1,0,0,19,0,0,0,51,36,1,0,3,0,1,295,55,60,20,9,0,14,9,1,0,0,1,1,0,20,0,0,0,42,61,1,0,0,0,1
"임업",소계,1124,27,165,121,136,0,18,346,1,0,1,238,3,0,11,0,0,0,13,31,2,0,11,0,0,1041,35,147,116,130,1,14,338,0,0,0,195,1,0,14,0,0,0,14,23,0,0,13,0,0,1017,33,153,99,180,3,22,306,0,0,0,174,0,0,9,0,0,0,3,32,0,0,3,0,0,1030,32,157,127,188,0,22,300,0,0,1,158,0,0,0,10,0,0,0,5,26,0,0,4,0,0,946,26,129,71,187,2,18,296,0,0,0,164,4,0,7,0,0,0,7,31,0,0,4,0,0
"임업",임업,1124,27,165,121,136,0,18,346,1,0,1,238,3,0,11,0,0,0,13,31,2,0,11,0,0,1041,35,147,116,130,1,14,338,0,0,0,195,1,0,14,0,0,0,14,23,0,0,13,0,0,1017,33,153,99,180,3,22,306,0,0,0,174,0,0,9,0,0,0,3,32,0,0,3,0,0,1030,32,157,127,188,0,22,300,0,0,1,158,0,0,0,10,0,0,0,5,26,0,0,4,0,0,946,26,129,71,187,2,18,296,0,0,0,164,4,0,7,0,0,0,7,31,0,0,4,0,0
"어업",소계,59,5,15,8,9,0,7,4,1,0,0,3,1,2,0,0,0,0,1,3,0,0,0,0,0,66,9,17,1,8,0,6,7,1,2,0,3,1,1,0,0,0,0,1,7,0,2,0,0,0,60,14,15,5,5,1,4,5,1,0,0,0,1,3,2,0,0,0,2,2,0,0,0,0,0,48,7,15,4,3,0,10,3,0,0,0,0,0,0,0,1,0,0,0,1,4,0,0,0,0,0,74,6,27,3,7,0,12,4,0,0,0,1,1,1,2,0,0,0,3,7,0,0,0,0,0
"어업",어업 양식어업 및 어업관련서비스업,59,5,15,8,9,0,7,4,1,0,0,3,1,2,0,0,0,0,1,3,0,0,0,0,0,66,9,17,1,8,0,6,7,1,2,0,3,1,1,0,0,0,0,1,7,0,2,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"어업",어업,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,60,14,15,5,5,1,4,5,1,0,0,0,1,3,2,0,0,0,2,2,0,0,0,0,0,48,7,15,4,3,0,10,3,0,0,0,0,0,0,0,1,0,0,0,1,4,0,0,0,0,0,74,6,27,3,7,0,12,4,0,0,0,1,1,1,2,0,0,0,3,7,0,0,0,0,0
"농업",소계,555,163,106,32,21,3,75,32,2,6,1,10,5,0,9,1,4,0,18,26,4,0,37,0,0,648,180,98,46,27,3,78,62,0,2,4,19,3,1,17,2,2,0,14,45,3,2,40,0,0,642,172,111,42,33,5,84,52,0,6,0,12,5,0,13,0,0,0,18,43,5,0,40,0,1,639,174,114,41,33,0,88,44,1,0,1,18,2,0,0,10,2,0,0,20,46,7,0,38,0,0,668,182,113,39,41,3,82,70,3,0,4,19,4,0,19,0,0,0,12,38,5,0,33,1,0
"농업",농업,555,163,106,32,21,3,75,32,2,6,1,10,5,0,9,1,4,0,18,26,4,0,37,0,0,648,180,98,46,27,3,78,62,0,2,4,19,3,1,17,2,2,0,14,45,3,2,40,0,0,642,172,111,42,33,5,84,52,0,6,0,12,5,0,13,0,0,0,18,43,5,0,40,0,1,639,174,114,41,33,0,88,44,1,0,1,18,2,0,0,10,2,0,0,20,46,7,0,38,0,0,668,182,113,39,41,3,82,70,3,0,4,19,4,0,19,0,0,0,12,38,5,0,33,1,0
"금융 및 보험업",소계,312,18,61,12,1,0,20,19,1,1,0,8,5,0,3,1,0,0,23,76,52,1,10,0,0,358,27,82,22,9,0,17,19,0,0,0,2,6,0,17,2,0,0,30,57,54,3,11,0,0,400,28,101,14,11,0,14,35,1,0,0,9,2,0,19,0,0,0,26,63,53,6,18,0,0,341,18,88,19,12,1,21,23,0,0,0,4,7,0,0,12,0,0,0,21,83,17,6,9,0,0,408,28,116,19,9,0,14,29,1,1,0,3,4,0,18,0,0,0,20,111,14,4,17,0,0
"금융 및 보험업",금융 및 보험업,312,18,61,12,1,0,20,19,1,1,0,8,5,0,3,1,0,0,23,76,52,1,10,0,0,358,27,82,22,9,0,17,19,0,0,0,2,6,0,17,2,0,0,30,57,54,3,11,0,0,400,28,101,14,11,0,14,35,1,0,0,9,2,0,19,0,0,0,26,63,53,6,18,0,0,341,18,88,19,12,1,21,23,0,0,0,4,7,0,0,12,0,0,0,21,83,17,6,9,0,0,408,28,116,19,9,0,14,29,1,1,0,3,4,0,18,0,0,0,20,111,14,4,17,0,0
"기타의 사업",소계,30595,2692,9108,1950,1206,35,2161,3219,69,41,50,401,2495,5,1274,92,4,7,2187,2367,788,196,209,21,18,37505,3110,11103,2381,1495,50,2537,3865,91,50,109,486,2871,11,2013,129,5,13,2519,3166,913,243,298,30,17,41811,3255,11760,2718,1717,106,2641,4616,87,61,88,588,3180,2,2475,119,4,9,2236,4472,1023,312,311,25,6,40573,3193,11843,2552,1638,81,2712,4489,91,63,72,534,2822,5,0,2365,131,7,5,2055,4565,660,315,344,25,6,45408,3202,13841,2955,1908,84,2944,4613,109,45,73,600,2970,5,3097,103,0,10,1977,5575,554,332,391,14,6
"기타의 사업",건물 등의 종합관리사업,3617,554,1899,201,79,1,133,203,14,3,3,39,31,2,139,12,0,1,34,208,18,34,3,2,4,4118,645,2000,243,108,1,152,207,20,1,6,56,35,0,178,16,0,1,38,340,19,41,7,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
