"산업중분류별(1)",산업중분류별(2),2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021
"산업중분류별(1)",산업중분류별(2),계,떨어짐,넘어짐,부딪힘,물체에 맞음,무너짐,끼임,절단·베임·찔림,감전,폭발·파열,화재,깔림·뒤집힘,이상온도 물체접촉,빠짐·익사,불균형 및 무리한 동작,화학물질 누출·접촉,산소결핍,사업장내 교통사고,사업장외 교통사고,업무상질병,체육행사등의 사고,폭력행위,동물상해,기타,분류불능,계,떨어짐,넘어짐,부딪힘,물체에 맞음,무너짐,끼임,절단·베임·찔림,감전,폭발·파열,화재,깔림·뒤집힘,이상온도 물체접촉,빠짐·익사,불균형 및 무리한 동작,화학물질 누출·접촉,산소결핍,사업장내 교통사고,사업장외 교통사고,업무상질병,체육행사등의 사고,폭력행위,동물상해,기타,분류불능,계,떨어짐,넘어짐,부딪힘,물체에 맞음,무너짐,끼임,절단·베임·찔림,감전,폭발·파열,화재,깔림·뒤집힘,이상온도 물체접촉,빠짐·익사,불균형 및 무리한 동작,화학물질 누출·접촉,산소결핍,사업장내 교통사고,사업장외 교통사고,업무상질병,체육행사등의 사고,폭력행위,동물상해,기타,분류불능,계,떨어짐,넘어짐,부딪힘,물체에 맞음,무너짐,끼임,절단·베임·찔림,감전,폭발·파열,화재,깔림·뒤집힘,이상온도 물체접촉,빠짐·익사,광산사고,불균형 및 무리한 동작,화학물질 누출·접촉,산소결핍,사업장내 교통사고,사업장외 교통사고,업무상질병,체육행사등의 사고,폭력행위,동물상해,기타,분류불능,계,떨어짐,넘어짐,부딪힘,물체에 맞음,무너짐,끼임,절단·베임·찔림,감전,폭발·파열,화재,깔림·뒤집힘,이상온도 물체접촉,빠짐·익사,불균형 및 무리한 동작,화학물질 누출·접촉,산소결핍,사업장내 교통사고,사업장외 교통사고,업무상질병,체육행사등의 사고,폭력행위,동물상해,기타,분류불능
"제조업",섬유 및 섬유제품 제조업,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1081,102,163,68,45,3,321,110,5,2,3,6,36,0,31,8,0,0,13,159,4,1,1,0,0,994,97,144,68,30,5,330,83,6,3,4,13,30,0,0,16,5,0,0,13,141,4,1,0,1,0,1084,100,158,61,51,1,324,103,4,2,3,12,35,0,26,11,0,0,11,178,0,2,1,0,1
"제조업",목재 및 나무제품 제조업,1003,79,57,66,97,6,210,365,1,0,3,27,4,0,17,0,0,0,12,56,2,1,0,0,0,1062,86,77,57,97,4,226,362,0,0,1,22,4,0,23,1,0,0,13,83,5,0,1,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"제조업",목재 및 종이제품 제조업,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1601,116,121,118,125,13,459,401,2,1,2,32,9,0,33,0,0,0,7,150,8,2,1,1,0,1457,120,113,99,118,6,428,366,1,6,4,21,6,1,0,31,3,0,0,14,118,1,0,1,0,0,1635,132,110,117,132,10,455,392,3,3,0,39,6,0,43,1,0,0,11,178,1,2,0,0,0
"제조업",펄프·지류제조업 및 제본 또는 인쇄물가공업,535,37,51,49,19,1,249,43,1,0,2,7,8,0,9,2,0,0,4,50,1,0,1,0,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"제조업",펄프·지류제조업,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,518,43,48,38,30,1,233,39,0,0,2,5,9,0,13,0,2,0,7,44,3,1,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"제조업",신문·화폐발행 출판업 및 인쇄업,318,23,38,12,13,0,129,31,0,0,4,5,4,0,11,2,0,0,5,32,9,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"제조업",출판·인쇄·제본 또는 인쇄물가공업,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,440,32,51,21,17,2,197,45,1,1,3,2,3,0,13,0,0,0,2,41,9,0,0,0,0,443,21,47,34,23,1,159,48,0,0,3,4,5,0,20,1,0,0,4,59,12,2,0,0,0,435,30,40,21,22,0,193,34,1,0,3,6,3,0,0,19,1,0,0,10,49,1,0,1,1,0,406,16,65,24,16,0,157,47,2,0,1,2,3,0,13,1,0,0,5,50,2,1,1,0,0
"제조업",화학제품제조업,2218,230,197,148,135,6,807,236,7,30,18,38,85,0,40,35,1,0,22,148,31,2,1,0,1,2396,212,237,168,142,6,850,279,15,20,9,49,72,0,52,47,0,0,29,177,20,10,1,1,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"제조업",화학 및 고무제품 제조업,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3172,255,302,226,167,11,998,297,10,25,25,40,97,1,103,36,1,0,44,497,34,2,1,0,0,3080,254,282,243,161,6,960,281,12,29,22,49,80,0,0,82,32,0,2,46,524,11,2,2,0,0,3516,257,332,263,199,8,979,318,17,36,20,54,107,0,131,38,0,2,41,700,4,5,4,0,1
"제조업",의약품 및 화장품향료 제조업,150,13,13,9,7,0,62,13,0,1,0,1,8,0,5,2,0,0,2,10,4,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
